Breed,Number of lactation,Green fodder (Kg),Dry fodder (Kg),Concentrate (kg),Azolla (kg),Milk yield (Liters),Milk Fat %,SNF %,Lactometer reading,Price (Rs/Liter),Vitamin liquid (ml/day),Mineral Mixture (gm/day),Calcium Supplement (Liquid) ml/day,Number of Calcium supplement Injections
Jersey cross,4,35,8,4,1.15,13.68,3.49,8.59,32,44.32,2,55,59,0
Jersey cross,1,33,10,11,0.66,13.65,3.62,8.53,37,38.4,6,64,51,0
Jersey cross,2,28,12,6,0.62,13.11,3.67,8.65,37,40.81,5,26,70,3
Jersey cross,9,33,13,6,0.17,16.92,3.6,8.5,36,43.31,6,31,50,3
Jersey cross,9,35,10,13,1.86,18.2,3.76,8.43,36,41.29,5,73,57,0
Jersey cross,1,32,12,14,0.84,13.22,3.67,8.51,37,35.55,4,30,58,1
Holstein Friesian Cross,1,30,10,9,0.01,14.77,3.46,8.54,30,37.02,3,55,56,2
Holstein Friesian Cross,4,29,5,14,1.81,17.64,3.45,8.5,30,38.93,5,52,55,3
Jersey cross,5,32,9,6,0.49,14.1,3.69,8.53,31,41.11,6,56,72,2
Holstein Friesian Cross,6,29,7,13,0.33,16.85,3.55,8.39,33,40.64,4,59,54,3
Holstein Friesian Cross,9,30,9,9,1.95,18.59,3.36,8.41,35,44.96,2,27,71,3
Holstein Friesian Cross,1,39,9,6,1.53,15.72,3.31,8.57,30,39.16,6,38,67,1
Holstein Friesian Cross,3,37,13,6,1.02,16.08,3.29,8.55,29,41.73,3,38,63,2
Holstein Friesian Cross,6,28,9,12,0.39,17.7,3.55,8.39,33,35.22,5,37,66,1
Jersey cross,6,26,5,6,0.63,13.28,3.56,8.5,32,39.56,3,67,65,2
Holstein Friesian Cross,4,31,5,4,1.73,15.95,3.34,8.57,35,36.79,6,65,65,3
Holstein Friesian Cross,6,44,5,5,0.2,18.62,3.13,8.54,29,43.96,4,29,57,2
Holstein Friesian Cross,5,25,12,12,0.35,17.82,3.57,8.46,28,35.18,5,26,57,2
Holstein Friesian Cross,2,29,7,11,1.48,15.85,3.41,8.4,37,37.46,6,62,72,0
Jersey cross,6,40,13,14,0.41,18.07,3.73,8.48,29,36.95,5,61,53,1
Jersey cross,7,32,5,13,0.66,16.72,3.79,8.35,32,35.1,5,55,52,0
Jersey cross,8,40,11,10,1.13,17.46,3.62,8.59,35,37.81,5,65,57,0
Jersey cross,5,45,13,7,1.74,16.15,3.42,8.46,32,40.43,6,69,67,1
Holstein Friesian Cross,3,31,8,4,0.53,14.98,3.21,8.49,30,38.85,2,67,67,1
Jersey cross,2,34,6,5,1.2,13.6,3.57,8.6,34,39.45,3,25,73,3
Jersey cross,9,26,11,10,1.52,16.77,3.83,8.56,33,40.72,2,34,65,2
Jersey cross,1,27,5,4,0.49,12.18,3.55,8.52,33,43.98,6,65,66,3
Holstein Friesian Cross,5,27,5,7,0.97,15.93,3.33,8.45,34,36.99,5,53,58,2
Holstein Friesian Cross,9,37,5,11,0.69,19.77,3.26,8.38,36,36.78,2,32,64,3
Jersey cross,7,25,7,14,1.58,16.36,3.74,8.43,35,35.11,6,48,65,3
Jersey cross,6,30,10,5,1.99,14.06,3.68,8.47,30,43.7,6,30,66,2
Holstein Friesian Cross,4,32,14,7,1.87,16.5,3.27,8.6,30,35.67,5,69,57,0
Jersey cross,6,33,13,13,0.49,16.89,3.81,8.45,29,42.19,6,69,52,0
Holstein Friesian Cross,5,38,12,9,0.84,16.84,3.38,8.52,38,41.11,3,34,57,0
Holstein Friesian Cross,6,34,9,9,0.84,17.03,3.4,8.56,36,35.56,6,29,55,0
Holstein Friesian Cross,2,45,14,11,0.25,16.83,3.24,8.53,38,35.59,4,61,57,2
Holstein Friesian Cross,8,32,13,4,0.67,17.95,3.35,8.52,35,36.54,4,36,74,3
Holstein Friesian Cross,5,40,9,11,0.65,19.09,3.35,8.57,38,42.29,6,57,55,0
Jersey cross,2,26,7,4,1.61,11.99,3.64,8.49,31,36.17,3,34,73,0
Holstein Friesian Cross,6,44,9,13,1.6,19.97,3.33,8.41,38,42.74,5,56,67,1
Jersey cross,3,32,13,4,1.53,12.53,3.55,8.61,34,41.13,2,49,67,1
Jersey cross,8,36,8,11,0.19,17.68,3.71,8.46,33,39.89,5,66,71,2
Holstein Friesian Cross,9,31,6,12,1.32,19.25,3.34,8.5,37,40.43,6,50,50,3
Jersey cross,3,36,12,14,1.26,16.09,3.77,8.52,28,44.57,5,68,51,1
Jersey cross,6,42,13,7,0.15,15.41,3.6,8.62,36,37.53,6,64,55,0
Jersey cross,7,32,9,8,0.68,15.34,3.73,8.56,36,38.95,6,59,68,2
Jersey cross,3,36,12,6,1.1,13.28,3.48,8.57,28,42.99,4,72,61,0
Holstein Friesian Cross,5,36,9,5,1.61,16.02,3.19,8.52,36,44.48,6,25,53,3
Holstein Friesian Cross,3,36,10,7,0.97,16.37,3.34,8.47,35,36.07,5,63,51,3
Jersey cross,4,40,11,11,1.46,15.94,3.62,8.47,33,41.8,6,57,69,0
Holstein Friesian Cross,4,33,10,12,0.36,17.05,3.33,8.58,34,37.04,3,67,54,2
Jersey cross,2,45,10,4,0.5,14.21,3.39,8.62,38,41.78,3,75,71,2
Jersey cross,3,32,12,7,1.39,14.68,3.54,8.49,35,35.78,5,25,57,2
Jersey cross,2,44,7,9,1.06,15.31,3.54,8.43,36,35.15,6,56,55,3
Holstein Friesian Cross,4,28,6,14,0.66,17.33,3.47,8.51,34,36.37,5,68,68,3
Holstein Friesian Cross,1,42,13,5,1.08,15.93,3.08,8.48,29,41.67,3,56,67,2
Holstein Friesian Cross,4,38,5,4,1.52,15.81,3.18,8.55,36,39.63,6,26,69,0
Jersey cross,6,38,13,13,0.84,16.1,3.72,8.44,37,37.76,2,41,51,2
Holstein Friesian Cross,4,30,13,14,1.36,17.6,3.46,8.5,37,36.45,4,58,60,2
Jersey cross,1,34,8,8,1.11,13.36,3.55,8.51,36,35.33,2,39,74,2
Holstein Friesian Cross,8,35,6,4,1.59,18.4,3.18,8.45,28,40.85,4,39,56,1
Holstein Friesian Cross,7,27,13,7,1.75,17.95,3.28,8.65,36,41.34,4,63,69,2
Holstein Friesian Cross,9,42,8,14,1.64,21.74,3.35,8.48,32,44.17,3,41,57,3
Holstein Friesian Cross,8,32,5,9,1.7,18.58,3.4,8.39,32,39.8,3,65,66,0
Jersey cross,4,34,8,14,0.52,16.18,3.76,8.53,31,36.94,5,45,60,2
Holstein Friesian Cross,3,34,7,4,1.37,14.44,3.22,8.52,31,37.46,2,50,51,3
Holstein Friesian Cross,6,42,8,12,1.18,18.65,3.32,8.56,34,38.96,2,55,50,0
Holstein Friesian Cross,6,32,11,6,1.43,16.71,3.21,8.52,30,40.11,4,33,71,0
Jersey cross,1,28,5,14,1.94,13.7,3.76,8.37,30,44.25,5,73,53,3
Holstein Friesian Cross,6,45,12,12,1.49,19.5,3.26,8.54,37,39.45,6,73,61,1
Holstein Friesian Cross,1,38,10,5,0.92,14.53,3.27,8.64,30,42.04,4,74,71,3
Jersey cross,3,44,9,12,0.85,16.39,3.56,8.41,34,44.67,3,42,55,1
Jersey cross,4,29,8,10,0.18,14.58,3.79,8.52,28,36.54,4,64,70,0
Holstein Friesian Cross,6,32,7,14,1.39,19.21,3.45,8.46,36,40.54,2,66,54,3
Jersey cross,7,31,7,14,1.1,17.18,3.78,8.38,30,37.76,2,38,51,3
Holstein Friesian Cross,7,29,9,5,1.49,16.55,3.39,8.46,28,44.74,6,42,63,1
Jersey cross,3,39,7,9,0.05,14.41,3.49,8.56,32,40.43,6,30,68,1
Jersey cross,8,27,14,12,1.11,16.77,3.86,8.51,35,39.34,4,66,75,3
Jersey cross,7,42,6,6,1.12,15.69,3.44,8.56,32,36.61,5,46,64,0
Jersey cross,1,41,12,12,1.27,13.73,3.53,8.58,34,42.73,4,73,61,0
Holstein Friesian Cross,3,28,12,9,1.54,16.58,3.41,8.55,30,43.91,5,55,65,0
Jersey cross,4,29,8,14,0.36,14.6,3.86,8.5,29,35.64,5,41,61,1
Jersey cross,6,38,14,11,1.17,17.66,3.68,8.51,36,38.34,4,62,67,1
Holstein Friesian Cross,1,43,10,12,0.1,15.74,3.24,8.42,30,37.35,4,44,64,1
Jersey cross,7,41,7,14,0.2,17.91,3.77,8.38,30,43.8,4,25,66,2
Holstein Friesian Cross,4,26,6,5,0.29,15.08,3.37,8.44,29,40.38,5,33,62,2
Holstein Friesian Cross,6,26,9,12,0.83,17.93,3.4,8.38,32,35.8,6,73,70,2
Holstein Friesian Cross,8,31,13,6,0.45,18.07,3.27,8.56,32,35.52,4,36,61,3
Jersey cross,2,33,9,13,0.13,15.18,3.68,8.42,30,37.7,2,64,71,2
Holstein Friesian Cross,8,43,8,14,1.61,21.02,3.36,8.37,35,42.29,3,32,54,0
Holstein Friesian Cross,5,44,5,9,0.1,18.3,3.26,8.4,34,42.05,2,30,62,1
Jersey cross,2,44,9,6,0.81,14.29,3.56,8.49,34,43.91,2,25,71,2
Holstein Friesian Cross,9,35,9,9,0.14,19.1,3.23,8.43,37,40.8,4,55,60,2
Holstein Friesian Cross,2,27,6,6,1.34,15.01,3.41,8.45,33,36.72,2,34,72,3
Jersey cross,1,42,5,14,0.31,14.65,3.66,8.4,35,37.29,3,35,63,1
Jersey cross,3,43,10,10,1.42,16.19,3.67,8.44,32,40.49,3,37,57,1
Jersey cross,9,25,13,6,1.93,15.97,3.7,8.52,37,42.09,4,72,50,2
Jersey cross,5,28,13,11,0.55,15.26,3.8,8.46,31,38.77,3,45,65,1
Holstein Friesian Cross,2,25,10,12,1.08,14.42,3.53,8.58,36,41.3,3,43,66,0
Jersey cross,9,30,10,6,1.96,16.54,3.67,8.45,32,40.46,4,47,73,3
Holstein Friesian Cross,6,30,8,11,0.47,18.02,3.48,8.42,37,41.7,6,58,75,3
Jersey cross,4,28,10,4,0.27,12.67,3.64,8.47,32,43.45,4,72,70,1
Holstein Friesian Cross,7,28,12,6,1.26,16.63,3.41,8.55,32,37.53,3,36,67,3
Jersey cross,8,43,13,11,0.64,17.26,3.69,8.5,36,41.64,4,27,53,0
Holstein Friesian Cross,7,42,13,14,1.27,20.38,3.29,8.39,28,43.03,3,52,61,3
Jersey cross,4,26,8,7,0.72,14.31,3.65,8.43,38,40.02,4,42,69,2
Jersey cross,5,38,11,7,0.54,14.88,3.66,8.51,34,37.9,3,55,66,2
Jersey cross,4,37,7,7,1.29,13.94,3.49,8.6,38,41.02,2,66,58,0
Holstein Friesian Cross,8,40,8,5,0.04,17.45,3.22,8.6,37,42.87,3,26,70,0
Holstein Friesian Cross,6,35,10,13,1.24,18.75,3.39,8.52,36,40.46,2,68,69,3
Jersey cross,5,34,8,4,1.68,14.68,3.5,8.59,34,41.73,3,75,71,2
Holstein Friesian Cross,8,36,14,7,0.47,19.53,3.21,8.55,38,40.57,6,39,55,0
Holstein Friesian Cross,2,29,12,9,0.72,15.67,3.42,8.52,35,38.23,2,38,67,3
Jersey cross,1,25,7,6,1.26,10.9,3.74,8.5,34,38.62,4,29,55,0
Holstein Friesian Cross,2,34,14,12,1.69,16.37,3.34,8.43,35,36.06,6,61,59,2
Holstein Friesian Cross,1,32,9,9,0.44,15.37,3.46,8.45,35,44.48,6,53,67,3
Jersey cross,8,38,10,9,0.52,16.2,3.63,8.42,37,35.56,5,37,66,0
Jersey cross,5,29,6,13,0.26,15.9,3.8,8.49,32,44.88,2,72,61,0
Holstein Friesian Cross,5,30,11,8,0.91,16.93,3.44,8.6,31,44.99,2,33,73,1
Jersey cross,2,43,10,9,0.35,14.75,3.51,8.53,34,37.41,2,72,71,0
Holstein Friesian Cross,9,42,5,9,0.89,19.06,3.18,8.36,35,40.43,3,59,62,0
Holstein Friesian Cross,6,31,14,4,0.54,16.16,3.27,8.55,38,39.59,6,38,53,1
Jersey cross,5,37,5,14,0.87,16.27,3.67,8.37,31,40.1,4,58,55,3
Holstein Friesian Cross,8,27,13,5,1.25,16.45,3.28,8.6,32,38.15,2,67,65,1
Jersey cross,7,29,14,11,0.03,16.98,3.63,8.44,36,40.66,5,68,62,0
Jersey cross,9,43,6,13,0.82,17.97,3.59,8.43,31,42.47,3,48,71,2
Jersey cross,6,43,8,6,0.41,15.81,3.47,8.55,37,40.64,3,26,70,3
Jersey cross,6,42,8,11,0.04,17.71,3.66,8.52,29,39.94,2,34,53,2
Holstein Friesian Cross,7,31,12,8,1.53,18.48,3.33,8.52,30,42.72,6,31,74,0
Jersey cross,3,31,9,9,1.34,13.69,3.63,8.52,30,37.93,4,38,54,2
Jersey cross,2,31,6,13,0.42,14.66,3.83,8.47,35,44.0,5,47,70,3
Jersey cross,5,38,10,11,1.5,16.95,3.71,8.5,31,44.34,5,41,52,0
Jersey cross,9,41,5,13,1.42,17.88,3.58,8.4,38,38.35,6,34,64,0
Holstein Friesian Cross,3,31,7,8,0.08,16.35,3.41,8.55,35,41.52,4,28,51,1
Holstein Friesian Cross,2,25,10,6,1.09,15.18,3.33,8.46,37,43.52,4,47,73,3
Jersey cross,6,29,8,5,1.35,14.44,3.64,8.52,32,41.64,4,38,72,3
Holstein Friesian Cross,5,31,13,11,1.93,18.02,3.36,8.42,38,43.43,3,68,65,0
Jersey cross,9,38,10,13,1.53,18.33,3.77,8.43,30,37.72,4,65,57,0
Jersey cross,9,38,8,4,1.5,16.01,3.49,8.44,35,44.59,4,48,68,1
Holstein Friesian Cross,2,29,5,12,1.26,16.22,3.44,8.42,36,38.03,4,41,65,3
Holstein Friesian Cross,9,41,13,10,0.58,19.46,3.24,8.52,36,39.3,5,40,75,1
Holstein Friesian Cross,4,35,12,10,0.42,16.46,3.37,8.61,36,39.83,6,69,63,0
Jersey cross,2,39,5,9,1.9,14.52,3.63,8.39,38,35.38,3,63,51,0
Jersey cross,7,25,10,13,0.38,15.7,3.89,8.56,34,44.56,4,33,71,2
Jersey cross,2,41,9,14,1.82,15.05,3.67,8.36,38,39.52,5,37,64,3
Jersey cross,8,31,8,12,1.96,16.69,3.76,8.45,32,43.08,2,27,64,3
Jersey cross,3,40,7,14,0.65,16.05,3.63,8.42,31,35.49,2,31,50,0
Jersey cross,9,35,13,9,0.59,17.55,3.73,8.46,30,40.44,6,55,68,3
Jersey cross,8,41,14,7,1.62,16.9,3.62,8.65,33,38.75,3,34,51,1
Holstein Friesian Cross,7,41,11,8,1.3,19.28,3.34,8.55,35,35.67,2,28,51,2
Holstein Friesian Cross,7,30,12,13,1.46,18.99,3.52,8.39,28,44.68,6,68,60,2
Jersey cross,9,28,9,8,1.53,16.26,3.61,8.6,38,42.44,4,36,75,0
Holstein Friesian Cross,2,32,7,9,1.5,15.9,3.4,8.51,34,39.38,3,75,58,1
Holstein Friesian Cross,3,41,13,10,0.12,17.89,3.38,8.49,34,44.02,5,72,63,0
Holstein Friesian Cross,5,38,13,14,1.94,19.7,3.36,8.53,37,37.78,3,67,58,0
Holstein Friesian Cross,8,41,14,12,0.07,19.21,3.36,8.45,35,42.34,6,70,53,0
Holstein Friesian Cross,3,27,6,5,1.85,15.44,3.33,8.59,28,38.41,4,35,75,1
Holstein Friesian Cross,1,28,5,6,0.32,14.38,3.39,8.53,31,39.88,2,26,58,2
Jersey cross,5,30,6,9,0.24,14.96,3.6,8.54,30,36.95,3,51,66,1
Jersey cross,4,33,12,7,0.57,14.22,3.65,8.62,32,36.25,6,35,73,1
Holstein Friesian Cross,4,29,7,8,0.01,16.63,3.32,8.58,28,37.76,6,62,67,2
Holstein Friesian Cross,7,30,7,14,1.36,19.14,3.41,8.39,36,42.44,4,57,55,2
Jersey cross,2,36,10,7,0.94,14.44,3.57,8.52,30,38.14,3,45,65,3
Holstein Friesian Cross,8,27,8,14,1.71,19.43,3.59,8.39,34,41.91,5,41,70,1
Jersey cross,8,29,12,12,1.99,17.67,3.73,8.5,31,35.42,2,41,64,1
Holstein Friesian Cross,5,29,14,8,1.58,17.2,3.34,8.64,36,38.69,4,61,64,3
Jersey cross,4,38,9,7,0.18,13.97,3.57,8.42,37,43.25,4,75,53,1
Holstein Friesian Cross,5,33,8,5,1.13,16.92,3.18,8.47,30,35.78,5,32,64,2
Holstein Friesian Cross,4,43,7,10,1.22,17.39,3.26,8.41,36,36.56,2,63,57,3
Jersey cross,8,33,14,9,0.32,16.04,3.65,8.5,35,39.89,2,49,51,2
Holstein Friesian Cross,8,42,11,9,0.54,19.78,3.18,8.49,36,43.64,4,28,70,0
Jersey cross,7,40,10,6,1.14,15.64,3.44,8.46,33,35.24,5,45,58,3
Jersey cross,6,25,7,13,0.37,15.66,3.81,8.51,38,41.82,4,56,60,3
Jersey cross,1,29,8,9,1.5,12.99,3.78,8.53,33,44.26,4,69,75,1
Holstein Friesian Cross,5,44,11,7,1.56,17.96,3.21,8.47,33,36.8,6,34,65,1
Jersey cross,3,28,10,4,0.87,12.29,3.61,8.47,31,35.11,3,40,53,0
Jersey cross,4,45,8,8,0.28,15.94,3.57,8.58,37,43.66,6,55,59,1
Jersey cross,9,27,7,9,1.56,17.07,3.76,8.43,34,36.44,2,75,50,0
Jersey cross,8,31,7,12,1.11,17.37,3.66,8.5,37,36.44,4,31,71,1
Jersey cross,5,43,6,14,1.67,16.8,3.63,8.42,31,38.87,6,36,59,3
Holstein Friesian Cross,2,40,9,8,0.78,16.78,3.21,8.6,33,40.03,3,54,64,2
Jersey cross,7,44,10,6,1.04,16.16,3.55,8.64,36,36.62,6,37,58,0
Holstein Friesian Cross,1,25,6,6,0.35,12.82,3.4,8.53,28,39.99,3,27,50,1
Holstein Friesian Cross,2,33,10,14,0.09,16.93,3.51,8.44,32,44.72,4,65,74,1
Holstein Friesian Cross,3,40,8,7,1.83,15.96,3.33,8.54,35,38.64,4,42,51,2
Jersey cross,6,43,7,6,0.13,16.27,3.5,8.46,34,40.53,4,70,65,0
Jersey cross,3,44,10,13,0.67,16.66,3.62,8.5,28,40.83,2,55,75,0
Jersey cross,3,35,12,10,1.68,14.95,3.57,8.5,36,35.49,5,72,63,0
Holstein Friesian Cross,1,34,9,4,0.39,15.13,3.22,8.62,29,43.79,3,74,58,3
Jersey cross,7,39,10,4,0.85,16.65,3.55,8.53,36,35.46,2,59,56,1
Jersey cross,8,33,10,9,1.64,17.58,3.69,8.48,36,37.49,2,71,72,1
Holstein Friesian Cross,6,36,10,9,1.24,17.68,3.41,8.57,32,36.66,4,28,53,1
Jersey cross,5,45,14,10,1.25,16.05,3.49,8.46,32,39.0,5,69,52,0
Holstein Friesian Cross,7,43,5,8,0.36,18.17,3.17,8.47,29,35.34,2,36,65,2
Jersey cross,3,39,6,9,1.5,14.62,3.49,8.4,37,37.93,5,60,63,0
Holstein Friesian Cross,3,33,12,12,1.37,17.63,3.46,8.48,29,43.19,3,72,58,2
Jersey cross,3,27,12,14,0.99,14.39,3.77,8.47,33,40.17,4,41,52,2
Holstein Friesian Cross,4,37,6,13,1.17,17.12,3.47,8.36,28,44.82,5,26,50,3
Jersey cross,1,36,7,9,1.94,14.07,3.56,8.44,31,42.29,3,35,71,2
Jersey cross,6,36,14,14,0.43,17.97,3.66,8.48,36,42.39,6,51,55,3
Holstein Friesian Cross,3,32,7,13,0.79,16.21,3.44,8.35,37,37.34,6,75,55,1
Holstein Friesian Cross,9,41,14,7,0.97,20.23,3.33,8.62,34,43.76,2,36,61,0
Holstein Friesian Cross,5,37,9,12,0.0,18.66,3.43,8.43,37,35.12,6,47,71,3
Holstein Friesian Cross,8,25,8,7,1.53,16.66,3.45,8.6,35,44.65,3,43,56,3
Jersey cross,6,44,9,9,0.2,17.29,3.49,8.59,38,40.28,6,31,72,3
Jersey cross,1,31,8,8,0.65,11.94,3.73,8.49,38,36.24,6,69,56,2
Holstein Friesian Cross,3,28,10,8,0.31,16.35,3.33,8.48,38,35.91,5,26,61,0
Holstein Friesian Cross,1,39,14,11,1.01,15.93,3.24,8.45,38,36.15,2,65,52,2
Jersey cross,3,32,14,4,1.3,14.18,3.55,8.57,38,37.9,2,48,62,0
Holstein Friesian Cross,6,45,11,11,1.13,18.52,3.26,8.43,33,42.64,6,35,60,0
Jersey cross,1,41,13,4,0.64,13.12,3.53,8.59,31,42.39,4,71,55,2
Holstein Friesian Cross,3,37,7,5,0.03,15.06,3.3,8.59,38,43.58,2,71,72,3
Holstein Friesian Cross,2,44,6,14,1.47,17.39,3.39,8.35,33,37.19,2,60,68,3
Jersey cross,4,37,9,11,1.67,14.46,3.56,8.39,29,40.5,4,53,58,3
Jersey cross,6,41,8,6,0.98,16.65,3.61,8.46,36,44.4,6,34,75,2
Jersey cross,7,44,13,5,1.54,16.83,3.54,8.66,30,44.73,2,34,53,2
Jersey cross,8,40,6,12,1.99,18.21,3.62,8.51,36,35.36,3,45,74,2
Holstein Friesian Cross,2,42,5,14,1.96,18.15,3.45,8.34,36,41.28,5,36,66,3
Holstein Friesian Cross,1,43,14,13,0.27,16.34,3.37,8.5,29,38.83,5,59,59,1
Holstein Friesian Cross,2,32,7,13,0.15,17.14,3.42,8.37,33,40.25,3,60,54,2
Holstein Friesian Cross,1,38,5,11,0.54,16.49,3.32,8.38,38,38.8,4,46,51,1
Jersey cross,5,28,12,10,0.49,15.14,3.68,8.51,36,37.53,3,31,54,0
Jersey cross,4,30,14,14,0.85,15.68,3.76,8.53,33,37.66,4,54,64,3
Holstein Friesian Cross,6,40,10,8,1.43,17.84,3.32,8.55,28,38.5,6,42,57,3
Holstein Friesian Cross,2,34,10,4,1.4,15.19,3.29,8.6,37,41.19,2,49,59,0
Holstein Friesian Cross,5,32,8,7,1.78,16.28,3.32,8.48,28,36.76,5,61,57,1
Holstein Friesian Cross,3,33,9,5,1.3,15.55,3.27,8.54,36,42.71,4,49,63,2
Jersey cross,4,35,10,4,1.38,14.34,3.45,8.58,29,40.43,5,61,72,2
Holstein Friesian Cross,6,30,8,12,1.92,17.6,3.45,8.54,32,35.06,3,70,55,2
Jersey cross,7,38,11,10,0.78,17.08,3.69,8.44,36,36.87,2,60,75,0
Jersey cross,7,39,8,8,1.24,16.38,3.58,8.56,34,36.89,2,29,51,1
Holstein Friesian Cross,6,37,14,14,0.99,18.88,3.47,8.58,29,37.41,6,52,60,2
Holstein Friesian Cross,2,33,8,10,1.8,14.73,3.32,8.52,36,41.06,5,51,57,3
Holstein Friesian Cross,9,31,14,14,0.89,19.27,3.39,8.55,29,37.42,5,73,54,2
Jersey cross,6,33,6,13,0.47,15.51,3.76,8.41,31,35.24,6,75,60,0
Holstein Friesian Cross,7,43,10,9,0.3,18.57,3.24,8.44,36,36.84,3,61,55,3
Holstein Friesian Cross,2,41,5,4,0.91,14.58,3.16,8.46,34,37.96,5,73,74,0
Holstein Friesian Cross,5,33,9,13,1.83,18.84,3.37,8.54,35,41.18,3,36,68,0
Holstein Friesian Cross,5,38,14,4,1.85,17.59,3.21,8.65,37,36.51,4,26,68,1
Holstein Friesian Cross,9,25,10,6,1.68,18.51,3.4,8.49,37,39.0,2,32,66,3
Holstein Friesian Cross,7,41,12,7,0.98,17.94,3.28,8.61,36,43.62,3,41,71,2
Holstein Friesian Cross,7,35,5,12,1.59,18.89,3.46,8.5,31,40.32,2,34,65,1
Holstein Friesian Cross,1,31,5,10,1.29,15.23,3.45,8.46,32,43.59,6,34,53,0
Jersey cross,4,33,12,10,0.02,14.28,3.7,8.52,37,44.54,5,38,65,1
Jersey cross,7,43,9,6,1.68,16.85,3.39,8.5,32,38.35,5,44,72,0
Holstein Friesian Cross,4,37,9,11,1.55,18.15,3.38,8.43,33,37.41,6,43,74,1
Jersey cross,8,43,10,7,0.15,17.55,3.52,8.63,34,35.87,6,27,52,3
Holstein Friesian Cross,8,31,13,9,0.98,17.73,3.43,8.49,36,39.68,5,65,57,1
Jersey cross,7,42,6,4,1.24,15.68,3.42,8.6,33,38.14,5,45,56,2
Holstein Friesian Cross,6,34,10,13,0.1,18.33,3.37,8.42,36,38.25,5,30,54,0
Jersey cross,3,25,5,6,0.06,11.98,3.74,8.47,33,35.62,6,60,66,2
Holstein Friesian Cross,8,38,7,8,1.35,19.17,3.28,8.5,37,37.74,5,47,69,0
Jersey cross,9,28,13,5,0.32,15.9,3.59,8.53,28,44.51,6,67,52,3
Holstein Friesian Cross,6,42,14,8,0.56,17.87,3.26,8.48,28,43.03,3,46,57,0
Jersey cross,8,32,9,9,1.3,16.57,3.6,8.43,33,44.95,6,53,59,0
Jersey cross,7,30,12,4,1.24,14.01,3.55,8.61,36,40.81,6,45,60,3
Holstein Friesian Cross,6,28,8,13,0.13,18.12,3.55,8.48,31,42.26,3,61,56,0
Holstein Friesian Cross,8,26,7,8,0.44,17.33,3.44,8.45,28,35.18,2,56,67,1
Jersey cross,1,28,6,14,1.55,14.16,3.78,8.52,36,39.79,5,36,55,1
Holstein Friesian Cross,1,41,12,4,0.88,15.13,3.13,8.67,30,39.05,2,36,50,3
Jersey cross,4,39,7,4,0.57,14.37,3.46,8.58,34,43.43,4,38,74,2
Jersey cross,5,30,14,7,0.83,14.32,3.6,8.66,34,43.31,5,48,61,3
Jersey cross,3,34,7,9,1.47,13.19,3.57,8.44,32,38.95,2,25,63,0
Holstein Friesian Cross,8,42,11,5,0.42,18.46,3.2,8.61,38,37.02,3,55,73,0
Jersey cross,6,35,12,6,1.59,15.86,3.55,8.66,29,36.36,4,44,58,1
Jersey cross,7,32,10,7,1.37,14.95,3.62,8.47,35,42.55,4,65,52,3
Holstein Friesian Cross,9,36,12,4,0.2,18.85,3.29,8.52,32,37.77,3,53,70,0
Jersey cross,6,41,14,14,0.32,17.69,3.76,8.45,33,39.27,3,28,64,1
Holstein Friesian Cross,1,33,14,12,0.63,15.85,3.32,8.6,36,42.67,4,35,53,1
Holstein Friesian Cross,6,41,7,9,0.91,18.03,3.25,8.57,38,38.28,4,69,69,0
Holstein Friesian Cross,6,37,8,8,1.21,17.75,3.3,8.58,34,41.54,5,47,74,1
Holstein Friesian Cross,8,36,9,5,1.98,18.01,3.21,8.6,30,43.28,6,37,55,1
Jersey cross,8,27,7,8,1.4,16.27,3.64,8.59,31,38.5,3,59,57,0
Holstein Friesian Cross,1,38,10,14,0.5,15.93,3.49,8.53,33,44.25,5,34,60,3
Jersey cross,5,45,7,14,1.92,16.77,3.58,8.45,30,37.54,3,53,53,0
Holstein Friesian Cross,7,33,6,10,0.88,18.21,3.42,8.46,36,41.79,5,67,68,3
Holstein Friesian Cross,9,34,8,12,1.77,19.72,3.35,8.54,33,38.08,6,34,74,2
Jersey cross,8,36,7,10,1.22,16.4,3.66,8.53,36,43.13,5,63,61,2
Holstein Friesian Cross,5,34,9,11,0.79,17.63,3.3,8.56,32,35.32,5,43,73,2
Jersey cross,9,38,5,6,0.36,16.8,3.6,8.44,37,41.96,3,55,62,1
Holstein Friesian Cross,1,38,8,4,1.3,14.58,3.27,8.51,38,38.19,4,27,62,0
Jersey cross,3,37,8,6,1.24,14.2,3.48,8.49,28,39.07,6,25,75,2
Holstein Friesian Cross,5,40,12,8,0.78,18.07,3.17,8.63,31,42.3,3,68,56,1
Jersey cross,5,29,11,5,0.91,14.17,3.7,8.51,36,44.58,3,41,58,3
Jersey cross,7,27,13,6,0.28,15.52,3.56,8.66,29,43.8,3,71,53,1
Holstein Friesian Cross,4,41,9,5,0.77,16.37,3.09,8.54,30,43.6,3,31,66,0
Jersey cross,2,36,8,4,1.87,11.91,3.55,8.47,33,42.27,5,58,72,2
Holstein Friesian Cross,4,37,10,9,0.82,16.47,3.31,8.49,32,35.28,5,44,63,3
Holstein Friesian Cross,5,33,12,7,0.68,17.6,3.39,8.63,38,35.48,6,60,59,2
Holstein Friesian Cross,6,26,8,5,0.34,15.97,3.41,8.53,34,41.8,5,66,71,3
Jersey cross,2,26,6,5,0.22,11.5,3.62,8.5,35,40.45,6,70,71,1
